timestamp_rel,mem_total,mem_available,anon_pages,pgmajfault,psi_mem_full,oom_kills
1332.81,287296,71560,180580,0
1337.30,287296,66724,180760,0
1343.37,287296,66808,180764,0
1349.11,287296,66836,180764,0
1355.80,287296,66884,180744,0
1360.25,287296,66840,180760,0
1363.97,287296,66788,180748,0
1367.54,287296,66704,180844,0
1372.07,287296,66708,180860,0
1375.04,287296,71644,180956,0
1377.55,287296,69904,180976,0
1381.13,287296,66580,181040,0
1385.54,287296,66596,181044,0
1387.82,287296,66656,181048,0
1391.13,287296,66468,181072,0
1395.49,287296,66124,181072,0
1406.30,287296,67000,181076,0
1411.56,287296,67160,181068,0
1414.90,287296,66980,181080,0
1419.86,287296,66944,181080,0
1425.27,287296,66952,181080,0
1429.05,287296,66884,181088,0
1442.09,287296,66676,181116,0
1467.04,287296,67076,181120,0
1473.06,287296,67016,181116,0
1476.13,287296,66964,181116,0
1479.25,287296,66972,181124,0
1484.45,287296,66984,181104,0
1490.74,287296,66764,181116,0
1495.16,287296,66840,181124,0
1499.95,287296,67024,181112,0
1505.18,287296,66836,181128,0
1508.86,287296,66972,181108,0
1511.97,287296,66880,181132,0
1515.40,287296,66848,181136,0
1525.01,287296,66992,181136,0
1527.76,287296,66884,181124,0
1532.15,287296,66856,181172,0
1542.80,287296,66712,181192,0
1554.35,287296,66816,181188,0
1559.26,287296,66812,181188,0
1569.76,287296,66756,181204,0
1590.00,287296,66772,181188,0
1597.65,287296,66844,181220,0
1602.49,287296,66856,181220,0
1605.99,287296,66804,181224,0
1613.33,287296,66852,181236,0
1620.26,287296,66896,181224,0
1624.26,287296,66644,181232,0
1631.40,287296,66628,181256,0
1642.66,287296,66824,181264,0
1649.96,287296,66712,181268,0
1655.71,287296,66748,181292,0
1660.00,287296,66812,181304,0
1664.38,287296,66364,181500,0
1669.52,287296,66336,181520,0
1672.44,287296,66504,181528,0
1677.83,287296,66448,181536,0
1680.88,287296,66468,181528,0
1685.80,287296,66520,181548,0
1688.96,287296,66468,181564,0
1692.95,287296,71024,181580,0
1695.86,287296,66456,181580,0
1699.82,287296,66220,181772,0
1703.24,287296,66208,181772,0
1707.88,287296,66172,181776,0
1712.24,287296,66156,181852,0
1721.82,287296,66136,181852,0
1727.82,287296,66156,181856,0
1732.83,287296,66128,181844,0
1737.22,287296,66192,181844,0
1743.10,287296,66144,181868,0
1747.99,287296,66196,181856,0
1753.88,287296,66148,181872,0
1757.41,287296,66216,181876,0
1759.52,287296,66064,181896,0
1763.46,287296,65960,181904,0
1767.67,287296,66120,181896,0
1770.54,287296,65828,182128,0
1774.23,287296,65824,182124,0
1777.57,287296,65828,182124,0
1784.64,287296,65892,182116,0
1789.74,287296,70764,182172,0
1792.42,287296,65620,182372,0
1796.61,287296,65472,182428,0
1802.17,287296,65608,182420,0
1804.50,287296,65644,182420,0
1812.56,287296,65568,182440,0
1816.82,287296,65572,182436,0
1820.06,287296,70420,182472,0
1821.89,287296,65500,182512,0
1829.52,287296,65492,182520,0
1832.31,287296,65560,182528,0
1837.92,287296,65312,182544,0
1842.49,287296,65200,182572,0
1863.44,287296,65292,182564,0
1869.17,287296,65196,182560,0
1875.57,287296,65088,182592,0
1889.33,287296,65280,182632,0
1896.78,287296,65144,182676,0
1913.49,287296,65220,182792,0
1927.07,287296,65028,182892,0
1939.48,287296,64696,183220,0
1994.83,287296,64088,183588,0
2021.55,287296,64176,183828,0
2035.54,287296,63932,183996,0
2042.85,287296,63688,184072,0
2061.45,287296,63304,184360,0
2107.49,287296,62772,184604,0
2160.90,287296,62396,185140,0
2211.05,287296,66900,119736,0
2222.09,287296,92928,109272,0
2225.38,287296,111496,108872,0
2228.98,287296,133592,108880,0
2231.64,287296,143064,108888,0
2234.01,287296,150536,90480,0
2236.55,287296,161604,90484,0
2238.65,287296,168444,90488,0
2240.67,287296,168612,90476,0
2242.25,287296,169684,90644,0
2243.57,287296,169724,90640,0
2244.83,287296,169688,90636,0
2246.06,287296,169692,90636,0
