timestamp_rel,mem_free,mem_slab,ksm_sharing,pgmajfault,engine_pool,engine_stored,engine_rejected
830.25,4188,7992,0,826977,64544768,266788864,0
831.60,5220,7984,0,829324,59236352,258560000,0
832.97,2320,7980,0,830428,60928000,263704576,0
834.84,4892,7984,0,831524,63655936,268447744,0
836.33,2596,7984,0,833470,65503232,267223040,0
837.73,4940,7988,0,835323,62558208,262569984,0
839.03,4704,7988,0,837432,60129280,258551808,0
840.43,5072,7984,0,838511,59772928,260042752,0
841.86,4932,7980,0,840236,58642432,256163840,0
843.20,2380,7980,0,841711,58097664,254570496,0
844.80,2236,7976,0,842684,60510208,259837952,0
846.23,3068,7976,0,843734,61714432,262111232,0
847.72,5208,7980,0,845759,59547648,258969600,0
849.18,2304,7980,0,846702,62353408,264884224,0
850.87,2888,7980,0,847918,63193088,266407936,0
852.35,4280,7984,0,849278,64004096,267177984,0
853.73,3964,7984,0,850827,64274432,265256960,0
855.05,3940,7980,0,852926,61603840,259784704,0
856.36,2988,7980,0,854235,61468672,259387392,0
857.85,2400,7980,0,855925,60891136,258613248,0
859.35,4124,7980,0,857264,60157952,257662976,0
861.01,2632,7972,0,858116,60112896,259837952,0
862.45,5544,7972,0,859009,61083648,261910528,0
863.82,5272,7968,0,860799,58466304,257564672,0
865.15,3984,7964,0,862884,55160832,253333504,0
866.56,4040,7964,0,864608,54939648,250867712,0
867.96,3780,7968,0,866158,52957184,248819712,0
869.36,3728,7972,0,868541,50405376,243277824,0
870.89,2248,7964,0,869491,52809728,249876480,0
872.71,2144,7964,0,870041,55836672,255889408,0
874.12,3360,7960,0,871425,58515456,257482752,0
875.52,3736,7964,0,872458,60665856,261763072,0
876.90,5440,7972,0,874103,59432960,262361088,0
878.38,2784,7964,0,875847,59125760,261750784,0
879.76,4120,7976,0,877460,59432960,260976640,0
881.14,3968,7976,0,879496,59031552,257556480,0
882.50,6580,7976,0,881051,59318272,256364544,0
883.89,2268,7980,0,881889,63295488,264388608,0
885.73,3480,7980,0,883580,62541824,263864320,0
887.14,4888,7980,0,884816,62545920,265592832,0
888.49,3984,7980,0,886705,59658240,261570560,0
889.85,3800,7980,0,888577,57954304,259510272,0
891.32,4204,7980,0,891062,54296576,252694528,0
892.71,2456,7980,0,892039,54951936,256278528,0
894.35,2316,7980,0,893563,55439360,257003520,0
895.81,3520,7976,0,895747,54546432,252342272,0
897.33,2204,7980,0,896559,55865344,257716224,0
899.03,2184,7980,0,897982,56299520,258379776,0
900.57,2796,7980,0,899156,58433536,259977216,0
902.06,2520,7980,0,900848,57073664,257953792,0
903.46,4356,7980,0,902214,56741888,257073152,0
904.95,4160,7976,0,904260,55279616,254234624,0
906.40,3524,7976,0,905256,54177792,255160320,0
907.87,3656,7976,0,906491,55312384,257474560,0
909.45,3176,7980,0,907277,57065472,260902912,0
910.89,4112,7980,0,908627,58150912,261533696,0
912.33,4012,7984,0,911218,55988224,253931520,0
913.74,5872,7980,0,912672,56356864,253095936,0
915.04,2416,7980,0,913680,57913344,257900544,0
916.93,2800,7984,0,914707,59731968,261533696,0
918.34,4680,7980,0,916169,60112896,260550656,0
919.71,4092,7984,0,918172,58732544,256819200,0
921.14,2076,7980,0,919559,58695680,259821568,0
922.98,2140,7976,0,920717,60452864,262918144,0
924.72,2272,7992,0,921327,65024000,270082048,0
926.23,4452,7996,0,923283,64122880,266731520,0
